"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmax_hab","WT"
"96","Orange",2018,"Palestina","Pales18",700,34.6,10.8,23.8,"Palestina",31.7138657024793,2.88613429752066
"97","Orange",2018,"Palestina","Pales18",722,35.6,7.3,28.3,"Palestina",31.7138657024793,3.88613429752066
"98","Orange",2018,"Palestina","Pales18",736,NA,7.2,NA,"Palestina",31.7138657024793,NA
"99","Orange",2018,"Palestina","Pales18",733,35.2,7.7,27.5,"Palestina",31.7138657024793,3.48613429752066
"100","Orange",2018,"Palestina","Pales18",746,36,6.9,29.1,"Palestina",31.7138657024793,4.28613429752066
"101","Orange",2018,"Palestina","Pales18",728,35.1,6.6,28.5,"Palestina",31.7138657024793,3.38613429752066
"102","Orange",2018,"Palestina","Pales18",750,NA,7.2,NA,"Palestina",31.7138657024793,NA
"103","Orange",2018,"Palestina","Pales18",751,32,7.9,24.1,"Palestina",31.7138657024793,0.286134297520661
"104","Orange",2018,"Palestina","Pales18",752,35.5,7.8,27.7,"Palestina",31.7138657024793,3.78613429752066
"105","Red",2018,"LagLon","LagLon18",1433,34.1,10.1,24,"LagLon",31.1194494382022,2.98055056179776
"106","Red",2018,"LagLon","LagLon18",1456,34.2,9.9,24.3,"LagLon",31.1194494382022,3.08055056179776
"107","Red",2018,"LagLon","LagLon18",1457,33.5,10.8,22.7,"LagLon",31.1194494382022,2.38055056179775
"108","Red",2018,"LagLon","LagLon18",1454,33.6,8.4,25.2,"LagLon",31.1194494382022,2.48055056179776
"109","Red",2018,"LagLon","LagLon18",1468,35.4,9.3,26.1,"LagLon",31.1194494382022,4.28055056179775
"110","Red",2018,"LagLon","LagLon18",1479,32.6,10.8,21.8,"LagLon",31.1194494382022,1.48055056179776
"111","Red",2018,"LagLon","LagLon18",1490,33.8,8.1,25.7,"LagLon",31.1194494382022,2.68055056179775
"112","Red",2018,"LagLon","LagLon18",1492,34.7,9.8,24.9,"LagLon",31.1194494382022,3.58055056179776
"113","Red",2018,"LagLon","LagLon18",1514,32.9,9.5,23.4,"LagLon",31.1194494382022,1.78055056179775
"114","Red",2018,"LagLon","LagLon18",1523,32.9,8.9,24,"LagLon",31.1194494382022,1.78055056179775
"115","Red",2018,"LagLon","LagLon18",1524,32.3,8.5,23.8,"LagLon",31.1194494382022,1.18055056179775
"116","Red",2018,"LagLon","LagLon18",1518,32,8.6,23.4,"LagLon",31.1194494382022,0.880550561797754
"117","Red",2018,"Palmas","Palm18",1352,34.3,10.1,24.2,"Palmas",31.1194494382022,3.18055056179775
"118","Red",2018,"Palmas","Palm18",1360,32.4,9.9,22.5,"Palmas",31.1194494382022,1.28055056179775
"119","Red",2018,"Palmas","Palm18",1367,33.5,10.1,23.4,"Palmas",31.1194494382022,2.38055056179775
"120","Red",2018,"Palmas","Palm18",1358,34.7,8.9,25.8,"Palmas",31.1194494382022,3.58055056179776
"121","Red",2018,"Palmas","Palm18",1363,32.4,10.4,22,"Palmas",31.1194494382022,1.28055056179775
"122","Red",2018,"Palmas","Palm18",1393,32.8,9.9,22.9,"Palmas",31.1194494382022,1.68055056179775
"123","Red",2018,"Palmas","Palm18",1392,31.7,10.4,21.3,"Palmas",31.1194494382022,0.580550561797754
"124","Red",2018,"Palmas","Palm18",1390,33.5,9.2,24.3,"Palmas",31.1194494382022,2.38055056179775
"125","Red",2018,"Palmas","Palm18",1389,34.3,9.1,25.2,"Palmas",31.1194494382022,3.18055056179775
"126","Red",2018,"Palmas","Palm18",1402,32.8,8.4,24.4,"Palmas",31.1194494382022,1.68055056179775
"127","Red",2018,"Palmas","Palm18",1403,33.5,7.8,25.7,"Palmas",31.1194494382022,2.38055056179775
"128","Orange",2018,"SalUrb","SalUrb18",854,31.9,8.6,23.3,"SalUrb",31.3867354166667,0.513264583333331
"129","Orange",2018,"SalUrb","SalUrb18",884,33.7,9.5,24.2,"SalUrb",31.3867354166667,2.31326458333334
"130","Orange",2018,"SalUrb","SalUrb18",883,33.5,8.6,24.9,"SalUrb",31.3867354166667,2.11326458333333
"131","Orange",2018,"SalUrb","SalUrb18",874,34.6,8.5,26.1,"SalUrb",31.3867354166667,3.21326458333333
"132","Orange",2018,"SalUrb","SalUrb18",786,35.8,7.8,28,"SalUrb",31.3867354166667,4.41326458333333
"133","Orange",2018,"SalUrb","SalUrb18",804,33.8,9.8,24,"SalUrb",31.3867354166667,2.41326458333333
"134","Orange",2018,"SalUrb","SalUrb18",810,32.6,7.9,24.7,"SalUrb",31.3867354166667,1.21326458333333
"135","Orange",2018,"SalUrb","SalUrb18",815,NA,7,NA,"SalUrb",31.3867354166667,NA
"136","Orange",2018,"SalUrb","SalUrb18",812,32.9,NA,NA,"SalUrb",31.3867354166667,1.51326458333333
"137","Orange",2018,"SalUrb","SalUrb18",790,33.2,7.3,25.9,"SalUrb",31.3867354166667,1.81326458333334
"138","Orange",2018,"SalUrb","SalUrb18",891,30.9,8.2,22.7,"SalUrb",31.3867354166667,0.486735416666669
"139","Yellow",2018,"NBI","NBI18",1135,37.2,12.4,24.8,"NBI",22.9841500630517,14.2158499369483
"140","Yellow",2018,"NBI","NBI18",1087,34.5,10.9,23.6,"NBI",22.9841500630517,11.5158499369483
"141","Yellow",2018,"NBI","NBI18",1083,32.4,11.2,21.2,"NBI",22.9841500630517,9.41584993694829
"142","Yellow",2018,"NBI","NBI18",1144,34.2,9.8,24.4,"NBI",22.9841500630517,11.2158499369483
"143","Yellow",2018,"NBI","NBI18",1147,33.1,9.2,23.9,"NBI",22.9841500630517,10.1158499369483
"144","Yellow",2018,"NBI","NBI18",1193,34.5,8.1,26.4,"NBI",22.9841500630517,11.5158499369483
"145","Yellow",2018,"NBI","NBI18",1122,33.3,9.8,23.5,"NBI",22.9841500630517,10.3158499369483
"146","Yellow",2018,"NBI","NBI18",1130,33.6,10.9,22.7,"NBI",22.9841500630517,10.6158499369483
"147","Yellow",2018,"NBI","NBI18",1063,33.4,9.6,23.8,"NBI",22.9841500630517,10.4158499369483
"148","Yellow",2018,"NBI","NBI18",1127,33.5,10.2,23.3,"NBI",22.9841500630517,10.5158499369483
"149","Yellow",2018,"NBI","NBI18",1151,33.6,9.2,24.4,"NBI",22.9841500630517,10.6158499369483
"150","Yellow",2018,"NBI","NBI18",1199,33.5,9,24.5,"NBI",22.9841500630517,10.5158499369483
"151","Yellow",2018,"CINvaLib","CINvaLib18",1295,34,11.1,22.9,"CINvaLib",25.1616164772727,8.83838352272727
"152","Yellow",2018,"CINvaLib","CINvaLib18",1291,33,11.2,21.8,"CINvaLib",25.1616164772727,7.83838352272727
"153","Yellow",2018,"CINvaLib","CINvaLib18",1282,33.4,9.9,23.5,"CINvaLib",25.1616164772727,8.23838352272727
"154","Yellow",2018,"CINvaLib","CINvaLib18",1268,33,11.2,21.8,"CINvaLib",25.1616164772727,7.83838352272727
