"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmin_hab","Cool_T"
"178","Red",2018,"RLFlor","RLFlor18",1390,35.7,8.6,27.1,"RLFlor",16.5797080665813,7.9797080665813
"179","Red",2018,"RLFlor","RLFlor18",1415,NA,9.8,NA,"RLFlor",16.5797080665813,6.7797080665813
"180","Red",2018,"RLFlor","RLFlor18",1416,33.1,11.2,21.9,"RLFlor",16.5797080665813,5.3797080665813
"181","Red",2018,"RLFlor","RLFlor18",1416,32.1,12.3,19.8,"RLFlor",16.5797080665813,4.2797080665813
"182","Yellow",2018,"LaLoma","LaLoma18",1300,35.9,6.2,29.7,"LaLoma",17.2586425061425,11.0586425061425
"183","Yellow",2018,"LaLoma","LaLoma18",1299,35.6,7.2,28.4,"LaLoma",17.2586425061425,10.0586425061425
"184","Yellow",2018,"LaLoma","LaLoma18",1295,34,8.3,25.7,"LaLoma",17.2586425061425,8.95864250614251
"185","Yellow",2018,"LaLoma","LaLoma18",1310,35.9,10.2,25.7,"LaLoma",17.2586425061425,7.05864250614251
"186","Yellow",2018,"LaLoma","LaLoma18",1299,35.8,6.8,29,"LaLoma",17.2586425061425,10.4586425061425
"187","Yellow",2018,"LaLoma","LaLoma18",1298,36.6,7.6,29,"LaLoma",17.2586425061425,9.65864250614251
