"","Domain","Elevation","Year","Pop","CTmax","CTmin","TTR","Weight","SVL","WT","Cool_T","Tmax_hab","Tmin_hab"
"122","Red",1358,2018,"Palmas",34.7,8.9,25.8,1.48,25.91,3.58055056179776,7.07098033707865,31.1194494382022,15.9709803370787
"123","Red",1392,2018,"Palmas",31.7,10.4,21.3,1.44,25.23,0.580550561797754,5.57098033707865,31.1194494382022,15.9709803370787
"124","Red",1393,2018,"Palmas",32.8,9.9,22.9,1.61,26,1.68055056179775,6.07098033707865,31.1194494382022,15.9709803370787
"125","Red",1352,2018,"Palmas",34.3,10.1,24.2,1.63,25.09,3.18055056179775,5.87098033707865,31.1194494382022,15.9709803370787
"126","Red",1360,2018,"Palmas",32.4,9.9,22.5,1.18,24.47,1.28055056179775,6.07098033707865,31.1194494382022,15.9709803370787
"127","Red",1389,2018,"Palmas",34.3,9.1,25.2,1.14,23.3,3.18055056179775,6.87098033707865,31.1194494382022,15.9709803370787
"128","Orange",810,2018,"SalUrb",32.6,7.9,24.7,0.95,22.81,1.21326458333333,10.4451875,31.3867354166667,18.3451875
"129","Orange",815,2018,"SalUrb",NA,7,NA,1.49,24.49,NA,11.3451875,31.3867354166667,18.3451875
"130","Orange",812,2018,"SalUrb",32.9,NA,NA,1.36,24.41,1.51326458333333,NA,31.3867354166667,18.3451875
"131","Orange",790,2018,"SalUrb",33.2,7.3,25.9,1.11,23.63,1.81326458333334,11.0451875,31.3867354166667,18.3451875
"132","Orange",891,2018,"SalUrb",30.9,8.2,22.7,1.18,24.43,0.486735416666669,10.1451875,31.3867354166667,18.3451875
"133","Orange",874,2018,"SalUrb",34.6,8.5,26.1,1.27,24.08,3.21326458333333,9.8451875,31.3867354166667,18.3451875
"134","Orange",883,2018,"SalUrb",33.5,8.6,24.9,1.32,24.9,2.11326458333333,9.7451875,31.3867354166667,18.3451875
"135","Orange",804,2018,"SalUrb",33.8,9.8,24,1.29,22.86,2.41326458333333,8.5451875,31.3867354166667,18.3451875
"136","Orange",854,2018,"SalUrb",31.9,8.6,23.3,1.51,25.48,0.513264583333331,9.7451875,31.3867354166667,18.3451875
"137","Orange",786,2018,"SalUrb",35.8,7.8,28,1.27,23.37,4.41326458333333,10.5451875,31.3867354166667,18.3451875
"138","Orange",884,2018,"SalUrb",33.7,9.5,24.2,1.05,23.42,2.31326458333334,8.8451875,31.3867354166667,18.3451875
"139","Yellow",1135,2018,"NBI",37.2,12.4,24.8,1.48,24.54,14.2158499369483,6.14423329129887,22.9841500630517,18.5442332912989
"140","Yellow",1087,2018,"NBI",34.5,10.9,23.6,1.27,23.67,11.5158499369483,7.64423329129887,22.9841500630517,18.5442332912989
"141","Yellow",1083,2018,"NBI",32.4,11.2,21.2,1.33,24.71,9.41584993694829,7.34423329129887,22.9841500630517,18.5442332912989
"142","Yellow",1144,2018,"NBI",34.2,9.8,24.4,1.35,22.82,11.2158499369483,8.74423329129887,22.9841500630517,18.5442332912989
